track_id,name,popularity,duration_ms,artist_id,artist_name,num_artists,playlist_id,playlist_name
1VvFtp71ibaXiHxurBlXuw,Before I Let You Go,0,289266,1ZfhyWZ9byvjFKEzBSa81I,Freestyle,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
267RumTt5KeLBGl2KWxBL0,Dating Tayo,62,239480,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
42nrX5b8ZUYRcw2puNY8tb,Titibo-Tibo,43,202452,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0GuAFGEkbWayjhWdlYlr7K,"Closer You and I - From ""Loving in Tandem""",52,196067,"['1t2caVgyabZrVDAlmMGraV', '0lslA51eKXwTUY0TSX9Emy']","['Michael Pangilinan', 'Marione']",2,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3lHhp1RYUEXhuvN5WHktKF,Ikaw Lang,0,211359,6urxZktbtGcTIIqxQZ1d8q,Jireh Lim,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7bTnIpIPRBCm708sJzcg82,Sundo,30,230186,7aD2Ni3fUu66gklUFlvJi5,Kyle Juliano,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0mqJsNkF3MRtBkRhzVskVX,We Can't Be,0,239364,4qzcg58jZdJ9ujEI6Cs3Ad,Krissy,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4PijKkjFxfWf5VmBEPbOak,Ikaw Lang,39,223586,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
3QhscmDTgaQNvGQ4ZZku7x,Dance with My Father,48,233293,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4fxHK6mhA9vli9NjpBSbGi,Isang Araw,53,287400,0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7oTnLwj9jpgLvowJaHD2EQ,Have I Told You Lately,33,224586,2uhjpR62cyl0U8HD38yFQ8,JM De Guzman,1,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
