track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3LWpOcr8kYmsHvqZsTLxna,Buko,6urxZktbtGcTIIqxQZ1d8q,Jireh Lim,74Glwg8XLd8JMUh72avKvF,315973,2013,50,0.61,0.489,9,-7.827,1,0.0256,0.487,0.0,0.112,0.425,95.023,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7KxZuKGOXYUT7Zyct91xma,Everything I Own,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,2fI8PsKYLPMt9Gv4NVrtjk,218426,2016-08-19,54,0.373,0.313,9,-10.275,1,0.0287,0.682,1.61e-06,0.114,0.333,73.178,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
4FdQYoWFym37QDQ2GkEHi1,It Might Be You - Theme from Everyday I Love You,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,0obyXODEHnssLgwFovpusL,252969,2015-10-21,63,0.541,0.435,6,-7.404,1,0.0242,0.314,3.28e-06,0.114,0.242,95.023,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
7oVDCIJdWiaGj3k7kPjPC9,Your Love,1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,6zlR3OiuNOuy0q6t0VjFjN,250775,2016-01-01,51,0.345,0.301,10,-12.001,1,0.055,0.755,0.0,0.117,0.16,149.533,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
2FpJL9TwVqUgsRdmMA4PED,Wala Nang Kulang Pa,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4aTjEtidxvtjqo7SQqSCky,216320,2014-08-28,42,0.666,0.679,4,-6.02,1,0.122,0.479,0.0,0.33,0.511,143.928,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
0YyM8aEdbjGfLWPn6fdcn7,Pasensya Ka Na,4nGp682WMiKS4X217kPw8C,Silent Sanctuary,38jqi8VvSax4miNL2cacD1,241029,2015-04-08,62,0.696,0.262,11,-15.073,1,0.031,0.519,0.0,0.0669,0.265,84.007,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
2i6R1wWHFtXFTIYv5lYnx4,Born for You - Duet Version,1zwnNOz4ZtdJ5mINqBSds3,Elmo Magalona,0vuRMtC9kveyQUtJ8dLzJt,225048,2016-01-01,42,0.522,0.262,9,-12.956,1,0.0296,0.675,0.0,0.28,0.234,86.739,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
1gcxmb3jJgMMsqQ9D1GUao,Ikaw At Ako,7LvDTuFCBv08xm6u1pOMK0,TJ Monterde,3w13qkCPn8IfvOvnfWYFNn,246230,2012,48,0.641,0.301,6,-8.833,1,0.0268,0.83,0.0,0.107,0.281,128.112,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6Sdkup965PGIwx02TlQwbH,Kahit Maputi Na Ang Buhok ko,5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,7EZuwENwODFIKnq7cqndMi,198120,2013-12-10,22,0.673,0.263,7,-10.607,1,0.0272,0.866,0.000557,0.095,0.226,105.054,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
6tQRMBgE72oyW4fsWAUXhl,"Can't Help Falling In Love - From ""Can't Help Falling In Love""",5yVM85m9yNcHO6o0vaaVxW,Daniel Padilla,2PMNz7ce9pFhD4nx3fjf87,215013,2017-04-10,54,0.396,0.274,6,-6.6,1,0.0294,0.694,0.0,0.129,0.148,71.795,6poV2I5cRP6zvB7UGGBGPu,Acoustic - Philippines
